Building,DemolitionDate,BuildingImage,promptcategory,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,prompt,Imperative,PromptTemplate,difficulty,currentState,expectedValue
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Produce a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Produce a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Produce a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Produce a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin"
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,random before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Create a photorealistic image of the Alfred P. Murrah Federal Building in United States of America on 12/12/1993,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Create a photorealistic image of the Alfred P. Murrah Federal Building in United States of America before 05/23/1995,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,random after,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Create a photorealistic image of the Alfred P. Murrah Federal Building in United States of America on 1/10/2001,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,after,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Create a photorealistic image of the Alfred P. Murrah Federal Building in United States of America after 05/23/1995,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,random before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Give me a photorealistic image of the Alfred P. Murrah Federal Building in United States of America on 12/12/1993,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Give me a photorealistic image of the Alfred P. Murrah Federal Building in United States of America before 05/23/1995,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,random after,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Give me a photorealistic image of the Alfred P. Murrah Federal Building in United States of America on 1/10/2001,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,after,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Give me a photorealistic image of the Alfred P. Murrah Federal Building in United States of America after 05/23/1995,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,random before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Generate a photorealistic image of the Alfred P. Murrah Federal Building in United States of America on 12/12/1993,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by other,
Alfred P. Murrah Federal Building,05/23/1995,http://commons.wikimedia.org/wiki/Special:FilePath/Murrah%20Building%20-%20Aerial.jpg,before,Point(-97.516944444 35.472777777),United States of America,12/12/1993,1/10/2001,Point(-97.516944444 35.472777777),-97.51694444,35.47277778,https://commons.wikimedia.org/wiki/Category:Alfred%20P.%20Murrah%20Federal%20Building,0,01/01/1977,14,Generate a photorealistic image of the Alfred P. Murrah Federal Building in United States of America before 05/23/1995,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,replaced by other,
