Building,DemolitionDate,BuildingImage,promptcategory,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,prompt,Imperative,PromptTemplate,difficulty,currentState,expectedValue,testImage,testImage_sdxlbase,testImage_sdxlturbo,testImage_sdv15,annotation_verdict_subject_present_1_sdxlturbo,annotation_verdict_Temp_Know_1_sdxlturbo,annotation_verdict_visual_err_1_sdxlturbo,annotation_verdict_subject_present_1_sdxlbase,annotation_verdict_Temp_Know_1_sdxlbase,annotation_verdict_visual_err_1_sdxlbase,annotation_verdict_subject_present_1_sdv15,annotation_verdict_Temp_Know_1_sdv15,annotation_verdict_visual_err_1_sdv15,annotationAverage,promptQuestions,annotation_verdict_final_1_sdxlturbo,annotation_verdict_final_1_sdxlbase,annotation_verdict_final_1_sdv15
Bauakademie,03/13/1962,http://commons.wikimedia.org/wiki/Special:FilePath/Bauakademie%201466.JPG,random after,Point(13.3989 52.5161),Germany,10/08/1853,8/15/1964,Point(13.3989 52.5161),13.3989,52.5161,https://commons.wikimedia.org/wiki/Category:Bauakademie%20%28Berlin%29,0,01/01/1799,12,Generate a photorealistic image of the Bauakademie in Germany on 8/15/1964,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Bauakademie_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Bauakademie_random_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Bauakademie_random_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Bauakademie_random_after_Generate.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Bauakademie in Germany in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Bauakademie in Germany on 8/15/1964? Please provide a clear yes or no answer",0,0,0
Bauakademie,03/13/1962,http://commons.wikimedia.org/wiki/Special:FilePath/Bauakademie%201466.JPG,after,Point(13.3989 52.5161),Germany,10/08/1853,8/15/1964,Point(13.3989 52.5161),13.3989,52.5161,https://commons.wikimedia.org/wiki/Category:Bauakademie%20%28Berlin%29,0,01/01/1799,12,Give me a photorealistic image of the Bauakademie in Germany after 03/13/1962,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Bauakademie_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Bauakademie_after_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Bauakademie_after_Give_me.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Bauakademie_after_Give_me.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the Bauakademie in Germany in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Bauakademie in Germany after 03/13/1962? Please provide a clear yes or no answer",0,0,0
Deutsche Bank Building,01/01/2007,http://commons.wikimedia.org/wiki/Special:FilePath/DeutscheBank.jpg,random before,Point(-74.0133 40.7097),United States of America,10/27/1976,7/9/2014,Point(-74.0133 40.7097),-74.0133,40.7097,https://commons.wikimedia.org/wiki/Category:Deutsche%20Bank%20Building,0,01/01/1973,15,Generate a photorealistic image of the Deutsche Bank Building in United States of America on 10/27/1976,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Deutsche_Bank_Building_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Deutsche_Bank_Building_random_before_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Deutsche_Bank_Building_random_before_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Deutsche_Bank_Building_random_before_Generate.png,1,1,1,0,0,0,1,1,0,0.5833333333333334,"Is the Deutsche Bank Building in United States of America in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Deutsche Bank Building in United States of America on 10/27/1976? Please provide a clear yes or no answer",1,0,1
Deutsche Bank Building,01/01/2007,http://commons.wikimedia.org/wiki/Special:FilePath/DeutscheBank.jpg,before,Point(-74.0133 40.7097),United States of America,10/27/1976,7/9/2014,Point(-74.0133 40.7097),-74.0133,40.7097,https://commons.wikimedia.org/wiki/Category:Deutsche%20Bank%20Building,0,01/01/1973,15,Produce a photorealistic image of the Deutsche Bank Building in United States of America before 01/01/2007,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Deutsche_Bank_Building_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Deutsche_Bank_Building_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Deutsche_Bank_Building_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Deutsche_Bank_Building_before_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Deutsche Bank Building in United States of America in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Deutsche Bank Building in United States of America before 01/01/2007? Please provide a clear yes or no answer",0,0,0
Deutsche Bank Building,01/01/2007,http://commons.wikimedia.org/wiki/Special:FilePath/DeutscheBank.jpg,random after,Point(-74.0133 40.7097),United States of America,10/27/1976,7/9/2014,Point(-74.0133 40.7097),-74.0133,40.7097,https://commons.wikimedia.org/wiki/Category:Deutsche%20Bank%20Building,0,01/01/1973,15,Generate a photorealistic image of the Deutsche Bank Building in United States of America on 7/9/2014,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Deutsche_Bank_Building_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Deutsche_Bank_Building_random_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Deutsche_Bank_Building_random_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Deutsche_Bank_Building_random_after_Generate.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Deutsche Bank Building in United States of America in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Deutsche Bank Building in United States of America on 7/9/2014? Please provide a clear yes or no answer",0,0,0
Deutsche Bank Building,01/01/2007,http://commons.wikimedia.org/wiki/Special:FilePath/DeutscheBank.jpg,after,Point(-74.0133 40.7097),United States of America,10/27/1976,7/9/2014,Point(-74.0133 40.7097),-74.0133,40.7097,https://commons.wikimedia.org/wiki/Category:Deutsche%20Bank%20Building,0,01/01/1973,15,Create a photorealistic image of the Deutsche Bank Building in United States of America after 01/01/2007,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,replaced by other,,/work/bba4287/output/samples/buildings/sampletest_Deutsche_Bank_Building_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Deutsche_Bank_Building_after_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Deutsche_Bank_Building_after_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Deutsche_Bank_Building_after_Create.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Deutsche Bank Building in United States of America in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Deutsche Bank Building in United States of America after 01/01/2007? Please provide a clear yes or no answer",0,0,0
Statue of Humanity,04/01/2011,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20to%20Humanity%20by%20Mehmet%20Aksoy%20in%20Kars%2C%20Turkey%20%28cropped%29.jpg,random before,Point(43.086131 40.61075),Turkey,07/14/2009,1/10/2015,Point(43.086131 40.61075),43.086131,40.61075,https://commons.wikimedia.org/wiki/Category:Monument%20of%20Humanity,0,01/01/2009,11,Produce a photorealistic image of the Statue of Humanity in Turkey on 07/14/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Statue_of_Humanity_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Statue_of_Humanity_random_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Statue_of_Humanity_random_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Statue_of_Humanity_random_before_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Statue of Humanity in Turkey in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Statue of Humanity in Turkey on 07/14/2009? Please provide a clear yes or no answer",0,0,0
Statue of Humanity,04/01/2011,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20to%20Humanity%20by%20Mehmet%20Aksoy%20in%20Kars%2C%20Turkey%20%28cropped%29.jpg,before,Point(43.086131 40.61075),Turkey,07/14/2009,1/10/2015,Point(43.086131 40.61075),43.086131,40.61075,https://commons.wikimedia.org/wiki/Category:Monument%20of%20Humanity,0,01/01/2009,11,Produce a photorealistic image of the Statue of Humanity in Turkey before 04/01/2011,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Statue_of_Humanity_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Statue_of_Humanity_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Statue_of_Humanity_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Statue_of_Humanity_before_Produce.png,0,0,1,0,0,1,0,0,1,0.25,"Is the Statue of Humanity in Turkey in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Statue of Humanity in Turkey before 04/01/2011? Please provide a clear yes or no answer",0,0,0
Statue of Humanity,04/01/2011,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20to%20Humanity%20by%20Mehmet%20Aksoy%20in%20Kars%2C%20Turkey%20%28cropped%29.jpg,random after,Point(43.086131 40.61075),Turkey,07/14/2009,1/10/2015,Point(43.086131 40.61075),43.086131,40.61075,https://commons.wikimedia.org/wiki/Category:Monument%20of%20Humanity,0,01/01/2009,11,Generate a photorealistic image of the Statue of Humanity in Turkey on 1/10/2015,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Statue_of_Humanity_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Statue_of_Humanity_random_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Statue_of_Humanity_random_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Statue_of_Humanity_random_after_Generate.png,0,0,1,0,0,1,0,0,1,0.25,"Is the Statue of Humanity in Turkey in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Statue of Humanity in Turkey on 1/10/2015? Please provide a clear yes or no answer",0,0,0
Statue of Humanity,04/01/2011,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20to%20Humanity%20by%20Mehmet%20Aksoy%20in%20Kars%2C%20Turkey%20%28cropped%29.jpg,after,Point(43.086131 40.61075),Turkey,07/14/2009,1/10/2015,Point(43.086131 40.61075),43.086131,40.61075,https://commons.wikimedia.org/wiki/Category:Monument%20of%20Humanity,0,01/01/2009,11,Produce a photorealistic image of the Statue of Humanity in Turkey after 04/01/2011,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Statue_of_Humanity_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Statue_of_Humanity_after_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Statue_of_Humanity_after_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Statue_of_Humanity_after_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Statue of Humanity in Turkey in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Statue of Humanity in Turkey after 04/01/2011? Please provide a clear yes or no answer",0,0,0
Synagogue (Ruzhany),01/01/1940,http://commons.wikimedia.org/wiki/Special:FilePath/Ruzhany%20synagogue%202006%201.jpg,random before,Point(24.8874 52.8634),Belarus,01/13/1914,12/12/1944,Point(24.8874 52.8634),24.8874,52.8634,https://commons.wikimedia.org/wiki/Category:Synagogue%20%28Ruzhany%29,0,01/01/1648,8,Give me a photorealistic image of the Synagogue (Ruzhany) in Belarus on 01/13/1914,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Synagogue_(Ruzhany)_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Synagogue_(Ruzhany)_random_before_Give_me.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Synagogue_(Ruzhany)_random_before_Give_me.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Synagogue_(Ruzhany)_random_before_Give_me.png,0,0,1,0,0,1,0,0,0,0.16666666666666666,"Is the Synagogue (Ruzhany) in Belarus in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Synagogue (Ruzhany) in Belarus on 01/13/1914? Please provide a clear yes or no answer",0,0,0
Synagogue (Ruzhany),01/01/1940,http://commons.wikimedia.org/wiki/Special:FilePath/Ruzhany%20synagogue%202006%201.jpg,before,Point(24.8874 52.8634),Belarus,01/13/1914,12/12/1944,Point(24.8874 52.8634),24.8874,52.8634,https://commons.wikimedia.org/wiki/Category:Synagogue%20%28Ruzhany%29,0,01/01/1648,8,Produce a photorealistic image of the Synagogue (Ruzhany) in Belarus before 01/01/1940,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Synagogue_(Ruzhany)_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Synagogue_(Ruzhany)_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Synagogue_(Ruzhany)_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Synagogue_(Ruzhany)_before_Produce.png,0,0,1,0,0,0,0,0,1,0.16666666666666666,"Is the Synagogue (Ruzhany) in Belarus in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Synagogue (Ruzhany) in Belarus before 01/01/1940? Please provide a clear yes or no answer",0,0,0
Synagogue (Ruzhany),01/01/1940,http://commons.wikimedia.org/wiki/Special:FilePath/Ruzhany%20synagogue%202006%201.jpg,random after,Point(24.8874 52.8634),Belarus,01/13/1914,12/12/1944,Point(24.8874 52.8634),24.8874,52.8634,https://commons.wikimedia.org/wiki/Category:Synagogue%20%28Ruzhany%29,0,01/01/1648,8,Create a photorealistic image of the Synagogue (Ruzhany) in Belarus on 12/12/1944,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Synagogue_(Ruzhany)_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Synagogue_(Ruzhany)_random_after_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Synagogue_(Ruzhany)_random_after_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Synagogue_(Ruzhany)_random_after_Create.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Synagogue (Ruzhany) in Belarus in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Synagogue (Ruzhany) in Belarus on 12/12/1944? Please provide a clear yes or no answer",0,0,0
Synagogue (Ruzhany),01/01/1940,http://commons.wikimedia.org/wiki/Special:FilePath/Ruzhany%20synagogue%202006%201.jpg,after,Point(24.8874 52.8634),Belarus,01/13/1914,12/12/1944,Point(24.8874 52.8634),24.8874,52.8634,https://commons.wikimedia.org/wiki/Category:Synagogue%20%28Ruzhany%29,0,01/01/1648,8,Produce a photorealistic image of the Synagogue (Ruzhany) in Belarus after 01/01/1940,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Synagogue_(Ruzhany)_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Synagogue_(Ruzhany)_after_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Synagogue_(Ruzhany)_after_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Synagogue_(Ruzhany)_after_Produce.png,0,0,1,0,0,0,0,0,0,0.08333333333333333,"Is the Synagogue (Ruzhany) in Belarus in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Synagogue (Ruzhany) in Belarus after 01/01/1940? Please provide a clear yes or no answer",0,0,0
Tsukiji fish market,10/10/2018,http://commons.wikimedia.org/wiki/Special:FilePath/Tsukiji%20as%20seen%20from%20Shiodome.jpg,random before,Point(139.769722222 35.661388888),Japan,12/07/1940,2/8/2027,Point(139.769722222 35.661388888),139.7697222,35.66138889,https://commons.wikimedia.org/wiki/Category:Tsukiji%20fish%20market,0,01/01/1935,32,Create a photorealistic image of the Tsukiji fish market in Japan on 12/07/1940,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Tsukiji_fish_market_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Tsukiji_fish_market_random_before_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Tsukiji_fish_market_random_before_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Tsukiji_fish_market_random_before_Create.png,0,0,0,1,0,0,0,0,1,0.16666666666666666,"Is the Tsukiji fish market in Japan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Tsukiji fish market in Japan on 12/07/1940? Please provide a clear yes or no answer",0,0,0
Tsukiji fish market,10/10/2018,http://commons.wikimedia.org/wiki/Special:FilePath/Tsukiji%20as%20seen%20from%20Shiodome.jpg,before,Point(139.769722222 35.661388888),Japan,12/07/1940,2/8/2027,Point(139.769722222 35.661388888),139.7697222,35.66138889,https://commons.wikimedia.org/wiki/Category:Tsukiji%20fish%20market,0,01/01/1935,32,Produce a photorealistic image of the Tsukiji fish market in Japan before 10/10/2018,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Tsukiji_fish_market_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Tsukiji_fish_market_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Tsukiji_fish_market_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Tsukiji_fish_market_before_Produce.png,0,0,0,1,1,0,0,0,0,0.25,"Is the Tsukiji fish market in Japan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Tsukiji fish market in Japan before 10/10/2018? Please provide a clear yes or no answer",0,1,0
Tsukiji fish market,10/10/2018,http://commons.wikimedia.org/wiki/Special:FilePath/Tsukiji%20as%20seen%20from%20Shiodome.jpg,random after,Point(139.769722222 35.661388888),Japan,12/07/1940,2/8/2027,Point(139.769722222 35.661388888),139.7697222,35.66138889,https://commons.wikimedia.org/wiki/Category:Tsukiji%20fish%20market,0,01/01/1935,32,Create a photorealistic image of the Tsukiji fish market in Japan on 2/8/2027,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Tsukiji_fish_market_random_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Tsukiji_fish_market_random_after_Create.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Tsukiji_fish_market_random_after_Create.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Tsukiji_fish_market_random_after_Create.png,0,0,0,0,0,0,0,0,0,0.0,"Is the Tsukiji fish market in Japan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Tsukiji fish market in Japan on 2/8/2027? Please provide a clear yes or no answer",0,0,0
Tsukiji fish market,10/10/2018,http://commons.wikimedia.org/wiki/Special:FilePath/Tsukiji%20as%20seen%20from%20Shiodome.jpg,after,Point(139.769722222 35.661388888),Japan,12/07/1940,2/8/2027,Point(139.769722222 35.661388888),139.7697222,35.66138889,https://commons.wikimedia.org/wiki/Category:Tsukiji%20fish%20market,0,01/01/1935,32,Generate a photorealistic image of the Tsukiji fish market in Japan after 10/10/2018,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",/work/bba4287/output/samples/buildings/sampletest_Tsukiji_fish_market_after_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Tsukiji_fish_market_after_Generate.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Tsukiji_fish_market_after_Generate.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Tsukiji_fish_market_after_Generate.png,0,0,0,0,0,0,0,0,1,0.08333333333333333,"Is the Tsukiji fish market in Japan in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Tsukiji fish market in Japan after 10/10/2018? Please provide a clear yes or no answer",0,0,0
Stalin Monument,10/23/1956,http://commons.wikimedia.org/wiki/Special:FilePath/Szt%C3%A1lin%20szobor%20Budapest.jpg,random before,Point(19.0814 47.5114),Hungary,02/20/1956,1/27/1960,Point(19.0814 47.5114),19.0814,47.5114,https://commons.wikimedia.org/wiki/Category:Stalin%20Monument%20%28Budapest%29,0,05/01/1955,12,Produce a photorealistic image of the Stalin Monument in Hungary on 02/20/1956,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,replaced by new,,/work/bba4287/output/samples/buildings/sampletest_Stalin_Monument_random_before_default.png,/work/bba4287/output/sdxlbase/buildings/sampletest_sdxlbase_Stalin_Monument_random_before_Produce.png,/work/bba4287/output/sdxlTurbo/samples/buildings/sampletest_sdxlturbo_Stalin_Monument_random_before_Produce.png,/work/bba4287/output/sdv15/buildings/sampletest_sdv15_Stalin_Monument_random_before_Produce.png,0,0,0,0,0,0,0,0,0,0.0,"Is the Stalin Monument in Hungary in the image? Please provide a clear, concise yes or no answer; Is the building in the image destroyed? Please provide a clear, concise yes or no answer; Is the image free of errors or artifacts? Please provide a clear, concise yes or no answer; Is this a suitable image for the following caption: A photorealistic image of the Stalin Monument in Hungary on 02/20/1956? Please provide a clear yes or no answer",0,0,0
