name,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,promptedage,goldenrecordImages,expectedValue
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardvark that is 46 years old,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Give me,Give me a photorealistic image of a Aardvark that is 11 years old,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an Aardvark that is 1 month old,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardvark that is 18 years old,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardvark that is 46 years old,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardvark,23,29.8,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Aardvark that is 11 years old,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Create,Create a photorealistic image of an Aardwolf that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of an Aardwolf that is 8 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Create,Create a photorealistic image of an Aardwolf that is 20 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of a Aardwolf that is 5 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Generate,Generate a photorealistic image of an Aardwolf that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardwolf that is 8 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardwolf that is 20 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Aardwolf that is 5 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Give me,Give me a photorealistic image of an Aardwolf that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardwolf that is 8 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardwolf that is 20 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Give me,Give me a photorealistic image of a Aardwolf that is 5 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an Aardwolf that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardwolf that is 8 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardwolf that is 20 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
Aardwolf,10,20.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Aardwolf that is 5 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Create,Create a photorealistic image of an African Bush Elephant that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of an African Bush Elephant that is 56 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Create,Create a photorealistic image of an African Bush Elephant that is 140 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of a African Bush Elephant that is 35 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Generate,Generate a photorealistic image of an African Bush Elephant that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Generate,Generate a photorealistic image of an African Bush Elephant that is 56 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an African Bush Elephant that is 140 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a African Bush Elephant that is 35 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Give me,Give me a photorealistic image of an African Bush Elephant that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of an African Bush Elephant that is 56 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of an African Bush Elephant that is 140 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Give me,Give me a photorealistic image of a African Bush Elephant that is 35 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an African Bush Elephant that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (lifespan*0.8) years old,unrealistic age,Produce,Produce a photorealistic image of an African Bush Elephant that is 56 years old,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (2*lifespan) years old,unrealistic age,Produce,Produce a photorealistic image of an African Bush Elephant that is 140 years old,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality"
African Bush Elephant,70,65.0,(imperative) a photorealistic image of a (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a African Bush Elephant that is 35 years old,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20Bush%20Elephant.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20bush%20elephant%2C%20Loxodonta%20africana%20at%20Punda%20Maria%2C%20Kruger%20National%20Park%2C%20South%20Africa.%20Includes%20lots%20of%20baby%20elephant.%20%2820591203310%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/African%20Elephant%20%28Loxodonta%20africana%29%20male%20%2816723147361%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life"
African Civet,15,28.0,(imperative) a photorealistic image of a (name) that is 1 month old,youth,Create,Create a photorealistic image of an African Civet that is 1 month old,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/African%20civet.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Civettictis%20civetta%2011.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/AfricanCivet.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence"
